,abbrev,"
State",2015 Yearly Earnings,2016 Yearly Earnings,2017 Yearly Earnings
4,AL,Alabama,38909.55341,40559.876189999995,41580.31275
5,AK,Alaska,50462.85576,50618.76303,51776.85684
6,AZ,Arizona,41850.41297,42906.30669,45836.21625
7,AR,Arkansas,35097.38599,35790.36513,37416.70218
8,CA,California,50606.24874,51802.40686,53931.9229
10,CO,Colorado,47601.25341,47285.78887,48211.325339999996
11,CN,Connecticut,50901.37755,53313.50811,54754.73786
12,DE,Delaware,39057.63925,42239.92043,44997.75841
13,DC,District of Columbia,71058.77983,71300.20146,75246.37612999999
14,FL,Florida,40473.84041,41325.33397,42995.47105
16,GA,Georgia,43632.13586,44402.80792,46898.367119999995
17,HI,Hawaii,42766.56372,43342.74277,45184.95142
18,ID,Idaho,38453.82446,38410.02443,39420.0324
19,IL,Illinois,46465.05962,47243.55312,47809.82501
20,IN,Indiana,41582.39846,42555.90641,44749.03678
22,IA,Iowa,40801.29782,41789.40578,42008.92739
23,KS,Kansas,40366.42604,40324.19029,41340.45541
24,KY,Kentucky,38800.57475,38910.59627,39935.20425
25,LA,Louisiana,41538.077,41454.64836,42537.65639
26,ME,Maine,39079.01783,39330.34661,41165.77669
28,MD,Maryland,48843.81872,48772.382939999996,50834.11321
29,MA,Massachusetts,53154.99369,54389.21612999999,56106.80326
30,MI,Michigan,43138.86403,43066.90683,44582.70093
31,MN,Minnesota,46200.69512,48062.19665,50532.72725
32,MS,Mississippi,35765.33654,36132.943980000004,37035.537580000004
33,,,0,0.0,0.0
34,MO,Missouri,39064.93925,39272.46799,41783.14863
35,MT,Montana,37481.88081,38159.73851,39628.08257
36,NE,Nebraska,39437.76099,40500.43329,42994.94962
37,NV,Nevada,38456.43161,39153.58218,40042.0972
38,NH,New Hampshire,43624.83586,45329.90869,46626.18118
40,NJ,New Jersey,48960.09738,49981.5768,51732.01395
41,NM,New Mexico,36503.68,35983.81529,37270.70206
42,NY,New York,50572.87728,51058.84911,52386.40734
43,NC,North Carolina,40116.14012,41850.9344,43390.19281
44,ND,North Dakota,46286.20947,46224.159419999996,47423.44612
46,OH,Ohio,40445.16181,41850.9344,43121.13544
47,OK,Oklahoma,39444.01813,40186.53303,42315.52764
48,OR,Oregon,41715.36286,43953.857560000004,45607.83034
49,PA,Pennsylvania,42920.90671,43479.357169999996,44219.26492
50,RI,Rhode Island,43044.48538,44314.68642,46266.9166
52,SC,South Carolina,38756.25328,39774.604119999996,41314.90539
53,SD,South Dakota,37194.57343,37885.98828,38571.14599
54,TN,Tennessee,38360.48867,40335.1403,41808.69865
55,TX,Texas,46042.70213,45755.91618,47528.25335
56,UT,Utah,43858.43605,44184.32917,45993.16637
58,VT,Vermont,41776.89148,42390.091980000005,42674.270789999995
59,VA,Virginia,47841.63218,49061.25461,49740.15517
60,WA,Washington,53147.69368,54719.80212000001,56959.33967
61,WV,West Virginia,37544.45229,38197.2814,40242.32593
62,WI,Wisconsin,41224.17674,41975.55593,43455.89286
63,WY,Wyoming,42332.73479,40231.89735,42585.10643
